ztdem01               -4.5606510162E+01    
ztdem02               -4.5228916168E+01    
ztdem03               -3.7643253326E+01    
ztdem05               -4.5521953583E+01    
ztdem08               -4.4384834290E+01    
ztdem12               -3.7958591461E+01    
ztdem14               -4.3249710083E+01    
ztdem15               -4.5122585297E+01    
ztdem17               -4.7879745483E+01    
ztdem20               -4.6891948700E+01    
ztdem21               -4.7037940979E+01    
ztdem22               -4.7560932159E+01    
ztdem32               -5.6494121552E+01    
ztdem33               -5.5675567627E+01    
ztdem34               -5.5849822998E+01    
ztdem35               -3.5209953308E+01    
ztdem37               -5.0314483643E+01    
ztdem41               -5.7254699707E+01    
ztdem42               -5.7447349548E+01    
ztdem43               -5.4603694916E+01    
ztdem44               -5.3309165955E+01    
ztdem45               -3.7659008026E+01    
ztdem46               -3.6069496155E+01    
ztdem47               -2.6219467163E+01    
ztdem48               -3.3657058716E+01    
ztdem49               -3.4101787567E+01    
ztdem51               -3.6890312195E+01    
ztdem52               -3.8281261444E+01    
ztdem53               -4.2207412720E+01    
ztdem54               -4.3763435364E+01    
ztdem55               -4.4551330566E+01    
ztdem56               -4.5963474274E+01    
ztdem57               -4.4998172760E+01    
ztdem58               -4.7236927032E+01    
ztdem59               -4.1071853638E+01    
ztdem61               -4.3619094849E+01    
ztdem62               -3.7636955261E+01    
ztdem63               -4.5303070068E+01    
ztdem64               -4.7895458221E+01    
ztdem65               -4.5804031372E+01    
ztdem66               -4.5889545441E+01    
ztdem68               -4.0182640076E+01    
ztdem69               -3.0600885391E+01    
ztdem71               -3.4877494812E+01    
ztdem74               -3.7828224182E+01    
ztdem75               -3.5178501129E+01    
ztdem80               -3.4514652252E+01    
ztdem81               -3.0066736221E+01    
