time,elapsed_seconds,message
2021-10-22 09:13:42,3.3279e-05,PEST++ performance logger started
2021-10-22 09:13:42,0.000237358,starting to process control file
2021-10-22 09:13:42,0.00794677,finished processing control file
2021-10-22 09:13:42,0.00424916,initializing constraints
2021-10-22 09:13:42,0.000199607,initializing chance constraints/objectives
2021-10-22 09:31:02,1039.88,set_predictions
2021-10-22 09:31:02,4.0361e-05,extracting prediction ZMUNI1_PCT from jacobian
2021-10-22 09:31:02,0.00140695,extracting prediction ZMUNI2_PCT from jacobian
2021-10-22 09:31:02,0.00115277,extracting prediction ZMUNI3_PCT from jacobian
2021-10-22 09:31:02,0.00115054,extracting prediction ZMUNI4_PCT from jacobian
2021-10-22 09:31:02,0.00113166,extracting prediction ZMUNI5_PCT from jacobian
2021-10-22 09:31:02,0.00112171,extracting prediction ZMUNI6_PCT from jacobian
2021-10-22 09:31:02,0.00111274,extracting prediction ZMUNI7_PCT from jacobian
2021-10-22 09:31:02,0.00116359,extracting prediction ZMUNI8_PCT from jacobian
2021-10-22 09:31:02,0.00114621,extracting prediction ZMUNI9_PCT from jacobian
2021-10-22 09:31:02,0.00110207,LinearAnalysis::prior_prediction_variance
2021-10-22 09:31:02,0.000149633,LinearAnalysis::prior_prediction_variance
2021-10-22 09:31:02,8.633e-06,LinearAnalysis::calc_posterior
2021-10-22 09:31:02,7.038e-06,LinearAnalysis::align
2021-10-22 09:31:02,2.0001e-05,LinearAnalysis::prior_prediction_variance()::invert obscov
2021-10-22 09:31:02,6.222e-06,inverting diagonal matrix in place
2021-10-22 09:31:02,1.1796e-05,LinearAnalysis::calc_posterior() form JtQJ
2021-10-22 09:31:02,0.000862642,LinearAnalysis::calc_posterior() invert prior parcov
2021-10-22 09:31:02,0.000311326,LinearAnalysis::calc_posterior() form posterior parcov
2021-10-22 09:31:02,3.4434e-05,LinearAnalysis::calc_posterior() invert posterior parcov
2021-10-22 09:31:02,6.661e-06,inverting non-diagonal matrix in place
2021-10-22 09:57:19,1576.87,set_predictions
2021-10-22 09:57:19,4.6691e-05,extracting prediction ZMUNI1_PCT from jacobian
2021-10-22 09:57:19,0.00137439,extracting prediction ZMUNI2_PCT from jacobian
2021-10-22 09:57:19,0.00115457,extracting prediction ZMUNI3_PCT from jacobian
2021-10-22 09:57:19,0.0011531,extracting prediction ZMUNI4_PCT from jacobian
2021-10-22 09:57:19,0.00113352,extracting prediction ZMUNI5_PCT from jacobian
2021-10-22 09:57:19,0.00112056,extracting prediction ZMUNI6_PCT from jacobian
2021-10-22 09:57:19,0.00111448,extracting prediction ZMUNI7_PCT from jacobian
